id	date	Descrip	Value									
1	201501	valorCompra	132,3									
1	201502	valorCompra	113,4									
1	201503	valorCompra	145,53									
1	201504	valorCompra	102,9105									
1	201505	valorCompra	112,266									
1	201506	valorCompra	163,296									
1	201507	valorCompra	228,6144									
1	201508	valorCompra	261,2736									
1	201509	valorCompra	122,472									
1	201510	valorCompra	117,936									
1	201511	valorCompra	156,5109									
1	201512	valorCompra	459,9504									
1	201601	valorCompra	268,3044									
1	201602	valorCompra	154,791									
1	201603	valorCompra	148,176									
1	201604	valorCompra	166,698									
1	201605	valorCompra	206,388									
1	201606	valorCompra	159,705									
1	201607	valorCompra	229,9752									
1	201608	valorCompra	210,8106									
1	201609	valorCompra	171,99									
1	201610	valorCompra	166,698									
1	201611	valorCompra	311,1696									
1	201612	valorCompra	474,1632									
1	201501	cant	20									
1	201502	cant	24									
1	201503	cant	33,6									
1	201504	cant	30,24									
1	201505	cant	27,216									
1	201506	cant	32,6592									
1	201507	cant	45,72288									
1	201508	cant	73,156608									
1	201509	cant	65,8409472									
1	201510	cant	52,67275776									
1	201511	cant	36,87093043									
1	201512	cant	66,36767478									
1	201601	cant	79,64120973									
1	201602	cant	71,67708876									
1	201603	cant	57,34167101									
1	201604	cant	51,60750391									
1	201605	cant	61,92900469									
1	201606	cant	61,92900469									
1	201607	cant	74,31480563									
1	201608	cant	81,74628619									
1	201609	cant	81,74628619									
1	201610	cant	73,57165757									
1	201611	cant	88,28598908									
1	201612	cant	141,2575825									
1	201501	valorTotalVenda	4914									
1	201502	valorTotalVenda	5896,8									
1	201503	valorTotalVenda	9081,072									
1	201504	valorTotalVenda	8172,9648									
1	201505	valorTotalVenda	8024,36544									
1	201506	valorTotalVenda	9629,238528									
1	201507	valorTotalVenda	13480,93394									
1	201508	valorTotalVenda	21569,4943									
1	201509	valorTotalVenda	19412,54487									
1	201510	valorTotalVenda	16824,20556									
1	201511	valorTotalVenda	11776,94389									
1	201512	valorTotalVenda	21198,499									
1	201601	valorTotalVenda	25438,1988									
1	201602	valorTotalVenda	24655,48499									
1	201603	valorTotalVenda	19724,38799									
1	201604	valorTotalVenda	17751,94919									
1	201605	valorTotalVenda	19780,74339									
1	201606	valorTotalVenda	19780,74339									
1	201607	valorTotalVenda	23736,89207									
1	201608	valorTotalVenda	26110,58127									
1	201609	valorTotalVenda	28119,08752									
1	201610	valorTotalVenda	25307,17877									
1	201611	valorTotalVenda	30368,61453									
1	201612	valorTotalVenda	48589,78324									
1	201501	valorPromedio	189									
1	201502	valorPromedio	226,8									
1	201503	valorPromedio	264,6									
1	201504	valorPromedio	187,11									
1	201505	valorPromedio	187,11									
1	201506	valorPromedio	272,16									
1	201507	valorPromedio	317,52									
1	201508	valorPromedio	362,88									
1	201509	valorPromedio	204,12									
1	201510	valorPromedio	181,44									
1	201511	valorPromedio	171,99									
1	201512	valorPromedio	442,26									
1	201601	valorPromedio	294,84									
1	201602	valorPromedio	221,13									
1	201603	valorPromedio	211,68									
1	201604	valorPromedio	238,14									
1	201605	valorPromedio	317,52									
1	201606	valorPromedio	245,7									
1	201607	valorPromedio	294,84									
1	201608	valorPromedio	270,27									
1	201609	valorPromedio	245,7									
1	201610	valorPromedio	238,14									
1	201611	valorPromedio	317,52									
1	201612	valorPromedio	423,36									
1	201501	valorVendaProme	283,5									
1	201502	valorVendaProme	294,84									
1	201503	valorVendaProme	378,378									
1	201504	valorVendaProme	267,5673									
1	201505	valorVendaProme	291,8916									
1	201506	valorVendaProme	424,5696									
1	201507	valorVendaProme	533,4336									
1	201508	valorVendaProme	609,6384									
1	201509	valorVendaProme	318,4272									
1	201510	valorVendaProme	306,6336									
1	201511	valorVendaProme	335,3805									
1	201512	valorVendaProme	919,9008									
1	201601	valorVendaProme	574,938									
1	201602	valorVendaProme	402,4566									
1	201603	valorVendaProme	385,2576									
1	201604	valorVendaProme	433,4148									
1	201605	valorVendaProme	536,6088									
1	201606	valorVendaProme	415,233									
1	201607	valorVendaProme	536,6088									
1	201608	valorVendaProme	491,8914									
1	201609	valorVendaProme	447,174									
1	201610	valorVendaProme	433,4148									
1	201611	valorVendaProme	666,792									
1	201612	valorVendaProme	948,3264									
2	201501	cant	20									
2	201502	cant	24									
2	201503	cant	34									
2	201504	cant	30									
2	201505	cant	27									
2	201506	cant	33									
2	201507	cant	46									
2	201508	cant	73									
2	201509	cant	66									
2	201510	cant	53									
2	201511	cant	37									
2	201512	cant	44									
2	201601	cant	53									
2	201602	cant	48									
2	201603	cant	38									
2	201604	cant	34									
2	201605	cant	41									
2	201606	cant	41									
2	201607	cant	50									
2	201608	cant	54									
2	201609	cant	54									
2	201610	cant	49									
2	201611	cant	59									
2	201612	cant	94									
2	201501	valorCompra	94,5									
2	201502	valorCompra	68,04									
2	201503	valorCompra	87,318									
2	201504	valorCompra	61,7463									
2	201505	valorCompra	67,3596									
2	201506	valorCompra	97,9776									
2	201507	valorCompra	152,4096									
2	201508	valorCompra	174,1824									
2	201509	valorCompra	73,4832									
2	201510	valorCompra	70,7616									
2	201511	valorCompra	111,7935									
2	201512	valorCompra	229,9752									
2	201601	valorCompra	191,646									
2	201602	valorCompra	92,8746									
2	201603	valorCompra	88,9056									
2	201604	valorCompra	100,0188									
2	201605	valorCompra	123,8328									
2	201606	valorCompra	95,823									
2	201607	valorCompra	153,3168									
